pulled_at,post_id,post_url,post_topic,impressions,total_engagements,engagement_rate
7/22/2026,7482627366121402368,https://www.linkedin.com/posts/s-thiru_careeradvice-leadership-techcareers-share-7482627366121402368-mQ91,careeradvice leadership techcareers,42,0,0.0
7/22/2026,7481630345667325952,https://www.linkedin.com/posts/s-thiru_innovation-history-entrepreneurship-ugcPost-7481630345667325952-uuXq,innovation history entrepreneurship,3100,2,0.0006
7/22/2026,7482870341233516545,https://www.linkedin.com/posts/s-thiru_storytelling-innovation-leadership-share-7482870341233516545-XLFp,storytelling innovation leadership,85,0,0.0
7/22/2026,7482827798571831296,https://www.linkedin.com/posts/s-thiru_burnout-worklifebalance-leadership-share-7482827798571831296-11VN,burnout worklifebalance leadership,40,0,0.0
7/22/2026,7483188388079149057,https://www.linkedin.com/posts/s-thiru_linkedin-pulse-share-7483188388079149057-vNIF,linkedin pulse,76,0,0.0
7/22/2026,7481642156231827457,https://www.linkedin.com/posts/s-thiru_machinelearning-ai-datascience-ugcPost-7481642156231827457-kV9r,machinelearning ai datascience,76,0,0.0
7/22/2026,7483486963497525248,https://www.linkedin.com/posts/s-thiru_agenticai-smarthome-aiethics-share-7483486963497525248-T9tX,agenticai smarthome aiethics,107,2,0.0187
7/22/2026,7483714073147383808,https://www.linkedin.com/posts/s-thiru_ugcPost-7483714073147383808-djuq,ugcPost 7483714073147383808 djuq,155,1,0.0065
7/22/2026,7483371288401727488,https://www.linkedin.com/posts/s-thiru_leadership-businessstrategy-management-share-7483371288401727488-qVJ0,leadership businessstrategy management,136,1,0.0074
7/22/2026,7483680952347570176,https://www.linkedin.com/posts/s-thiru_aieconomics-tokeneconomy-generativeai-share-7483680952347570176-5Kdb,aieconomics tokeneconomy generativeai,135,0,0.0
7/22/2026,7351717386795786240,https://www.linkedin.com/posts/s-thiru_im-happy-to-share-that-ive-obtained-a-new-ugcPost-7351717386795786240-crDp,im happy to share that ive obtained a new,1,0,0.0
7/22/2026,7483976009793400832,https://www.linkedin.com/posts/s-thiru_platformthinking-enterprisearchitecture-platformengineering-share-7483976009793400832-9rhs,platformthinking enterprisearchitecture platformengineering,143,2,0.014
7/22/2026,7483845635582984193,https://www.linkedin.com/posts/s-thiru_the-rise-of-agentic-software-development-share-7483845635582984193-JjGm,the rise of agentic software development,158,0,0.0
7/22/2026,7484647074844737536,https://www.linkedin.com/posts/s-thiru_corporateculture-middlemanagement-techhumor-ugcPost-7484647074844737536-tglS,corporateculture middlemanagement techhumor,388,3,0.0077
7/22/2026,7484624610966089728,https://www.linkedin.com/posts/s-thiru_agenticai-smarthome-aiethics-ugcPost-7484624610966089728-tXTw,agenticai smarthome aiethics,111,0,0.0
7/22/2026,7352704418871398400,https://www.linkedin.com/posts/s-thiru_3-reasons-that-hiring-a-perfect-unicorn-employee-share-7352704418871398400-s9NA,3 reasons that hiring a perfect unicorn employee,1,0,0.0
7/22/2026,7485053902799831040,https://www.linkedin.com/posts/s-thiru_artificialintelligence-privateequity-valuecreation-share-7485053902799831040-6G2D,artificialintelligence privateequity valuecreation,62,2,0.0323
7/22/2026,7484489826369708032,https://www.linkedin.com/posts/s-thiru_corporateculture-middlemanagement-techhumor-share-7484489826369708032-V6G1,corporateculture middlemanagement techhumor,82,0,0.0
7/22/2026,7485394040792907776,https://www.linkedin.com/posts/s-thiru_linkedin-gives-you-a-snapshot-of-your-posts-ugcPost-7485394040792907776-Lb41,linkedin gives you a snapshot of your posts,60,2,0.0333
7/22/2026,7481150756449067009,https://www.linkedin.com/posts/s-thiru_productmanagement-platformthinking-techleadership-share-7481150756449067009-8WHT,productmanagement platformthinking techleadership,19,0,0.0
7/23/2026,7422035873782845443,https://www.linkedin.com/posts/s-thiru_share-7422035873782845443-8kpm,share 7422035873782845443 8kpm,3,0,0.0
7/23/2026,7386779528435773440,https://www.linkedin.com/posts/s-thiru_opentowork-layoffs-resilience-share-7386779528435773440-Eo1h,opentowork layoffs resilience,2,0,0.0
7/23/2026,7386883754679615489,https://www.linkedin.com/posts/s-thiru_unemployednotunworthy-careerpivots-faithinthewaiting-share-7386883754679615489-N7-B,unemployednotunworthy careerpivots faithinthewaiting,6,0,0.0
7/23/2026,7386909013470236672,https://www.linkedin.com/posts/s-thiru_jobsearchhumor-opentowork-rejectionresilience-share-7386909013470236672-tiHf,jobsearchhumor opentowork rejectionresilience,4,0,0.0
7/23/2026,7390434172122812416,https://www.linkedin.com/posts/s-thiru_machinelearning-mlops-ai-share-7390434172122812416-Vyxo,machinelearning mlops ai,9,0,0.0
7/23/2026,7444838077958651904,https://www.linkedin.com/posts/s-thiru_jobsearchstruggles-ats-candidateexperience-share-7444838077958651904-qeLk,jobsearchstruggles ats candidateexperience,12,0,0.0
7/23/2026,7328453704091639808,https://www.linkedin.com/posts/s-thiru_im-happy-to-share-that-ive-obtained-a-new-ugcPost-7328453704091639808-O9bC,im happy to share that ive obtained a new,1,0,0.0
7/23/2026,7462965458904969217,https://www.linkedin.com/posts/s-thiru_im-attending-the-data-driven-path-to-consumption-based-ugcPost-7462965458904969217-wyMO,im attending the data driven path to consumption based,15,0,0.0
7/23/2026,7481381790818148352,https://www.linkedin.com/posts/s-thiru_perforces-2026-platform-engineering-report-share-7481381790818148352-fFVy,perforces 2026 platform engineering report,23,0,0.0
7/23/2026,7482627366121402368,https://www.linkedin.com/posts/s-thiru_careeradvice-leadership-techcareers-share-7482627366121402368-mQ91,careeradvice leadership techcareers,28,0,0.0
